"","age","gender","employment","marital_status","treatment","correction"
"1",40,"Male",1,0,"acceptability",0
"2",79,"Male",0,1,"acceptability",1
"3",36,"Female",1,0,"control",1
"4",22,"Female",1,0,"acceptability",0
"5",34,"Female",1,0,"acceptability",0
"6",71,"Female",0,0,"acceptability",1
"7",67,"Male",0,1,"responsibility",1
"8",41,"Female",0,1,"acceptability",1
"9",56,"Female",0,0,"control",1
"10",32,"Female",0,1,"responsibility",1
"11",63,"Female",0,0,"responsibility",1
"12",75,"Male",0,0,"control",1
"13",43,"Female",0,1,"acceptability",0
"14",64,"Female",0,0,"responsibility",0
"15",38,"Male",1,1,"responsibility",1
"16",39,"Male",0,0,"control",1
"17",37,"Male",0,0,"responsibility",0
"18",62,"Female",0,0,"acceptability",0
"19",47,"Female",1,0,"control",1
"20",69,"Male",0,0,"responsibility",0
"21",43,"Male",0,0,"control",0
"22",21,"Female",1,0,"control",1
"23",76,"Female",0,1,"control",0
"24",29,"Female",0,0,"acceptability",0
"25",52,"Female",0,1,"acceptability",1
"26",57,"Female",1,1,"control",0
"27",60,"Female",0,1,"acceptability",1
"28",48,"Female",0,1,"control",1
"29",20,"Female",0,0,"control",0
"30",41,"Female",0,0,"control",1
"31",42,"Male",1,1,"acceptability",1
"32",38,"Female",0,0,"acceptability",0
"33",22,"Female",0,0,"responsibility",1
"34",50,"Female",0,0,"control",1
"35",49,"Female",1,1,"responsibility",0
"36",26,"Female",0,0,"responsibility",0
"37",81,"Male",0,0,"responsibility",1
"38",50,"Male",1,1,"responsibility",0
"39",58,"Male",1,0,"responsibility",1
"40",61,"Female",1,0,"control",0
"41",28,"Female",0,1,"control",0
"42",69,"Male",0,0,"responsibility",1
"43",24,"Male",1,1,"responsibility",1
"44",66,"Female",0,1,"acceptability",0
"45",40,"Female",1,0,"acceptability",0
"46",27,"Female",0,0,"responsibility",1
"47",35,"Male",1,1,"control",1
"48",63,"Female",0,0,"responsibility",0
"49",43,"Female",0,1,"control",1
"50",26,"Female",0,0,"acceptability",0
"51",51,"Male",1,0,"acceptability",1
"52",54,"Female",1,0,"acceptability",0
"53",30,"Male",1,0,"control",0
"54",46,"Female",0,1,"acceptability",1
"55",21,"Male",0,0,"acceptability",1
"56",54,"Female",0,0,"responsibility",0
"57",43,"Female",1,1,"acceptability",0
"58",57,"Female",0,0,"responsibility",0
"59",62,"Male",0,1,"responsibility",1
"60",74,"Female",0,0,"control",0
"61",44,"Male",0,0,"responsibility",0
"62",72,"Female",1,0,"responsibility",1
"63",56,"Female",1,0,"control",0
"64",64,"Female",1,1,"acceptability",0
"65",28,"Male",0,0,"control",1
"66",41,"Male",1,1,"control",1
"67",43,"Female",1,0,"acceptability",0
"68",30,"Male",1,1,"responsibility",1
"69",38,"Female",0,1,"control",0
"70",29,"Male",0,1,"responsibility",1
"71",33,"Male",1,0,"acceptability",1
"72",55,"Male",0,1,"responsibility",1
"73",18,"Female",1,0,"control",0
"74",43,"Female",1,0,"control",0
"75",46,"Female",1,0,"control",0
"76",34,"Female",1,0,"acceptability",0
"77",33,"Male",1,1,"control",0
"78",33,"Male",0,0,"responsibility",1
"79",33,"Female",0,1,"acceptability",0
"80",33,"Female",1,0,"control",1
"81",59,"Male",0,0,"responsibility",0
"82",68,"Male",0,1,"acceptability",0
"83",38,"Male",1,1,"responsibility",0
"84",36,"Male",1,1,"control",1
"85",33,"Female",1,0,"control",0
"86",66,"Female",0,1,"control",0
"87",42,"Female",0,0,"responsibility",1
"88",53,"Female",1,1,"acceptability",0
"89",46,"Male",1,0,"control",0
"90",40,"Female",1,1,"responsibility",0
"91",20,"Female",0,1,"control",1
"92",51,"Female",0,1,"control",1
"93",48,"Female",1,1,"responsibility",1
"94",35,"Female",1,1,"responsibility",1
"95",42,"Male",1,1,"acceptability",0
"96",51,"Male",0,0,"control",0
"97",52,"Male",1,1,"acceptability",0
"98",32,"Male",1,0,"control",1
"99",51,"Female",1,0,"responsibility",1
"100",40,"Male",1,1,"acceptability",1
"101",41,"Female",0,1,"control",1
"102",58,"Female",0,1,"responsibility",1
"103",47,"Female",0,1,"acceptability",0
"104",32,"Male",0,0,"acceptability",1
"105",29,"Female",0,0,"responsibility",0
"106",66,"Female",0,0,"responsibility",1
"107",25,"Male",1,1,"control",1
"108",49,"Female",0,0,"responsibility",1
"109",44,"Male",1,1,"acceptability",0
"110",30,"Female",0,0,"responsibility",1
"111",18,"Female",1,0,"acceptability",1
"112",24,"Female",0,0,"acceptability",0
"113",43,"Female",1,1,"responsibility",1
"114",40,"Male",1,1,"control",0
"115",40,"Male",1,1,"responsibility",0
"116",62,"Female",1,1,"control",0
"117",40,"Male",1,0,"responsibility",1
"118",21,"Female",0,0,"acceptability",0
"119",57,"Female",1,1,"responsibility",0
"120",35,"Male",1,0,"acceptability",0
"121",21,"Female",0,0,"acceptability",1
"122",18,"Female",1,0,"acceptability",1
"123",52,"Male",1,1,"acceptability",1
"124",54,"Female",1,0,"acceptability",1
"125",24,"Female",1,0,"responsibility",0
"126",27,"Female",0,0,"responsibility",1
"127",57,"Female",0,1,"acceptability",1
"128",21,"Female",1,0,"acceptability",0
"129",24,"Female",1,1,"control",0
"130",78,"Female",0,1,"control",1
"131",45,"Male",0,0,"responsibility",0
"132",37,"Male",1,0,"control",1
"133",46,"Female",1,1,"acceptability",1
"134",33,"Male",1,0,"acceptability",1
"135",58,"Female",1,0,"control",0
"136",69,"Female",0,1,"responsibility",0
"137",61,"Female",0,0,"acceptability",1
"138",20,"Female",0,0,"responsibility",0
"139",49,"Male",1,0,"control",0
"140",19,"Female",1,0,"responsibility",1
"141",35,"Female",0,0,"responsibility",1
"142",60,"Female",0,1,"control",1
"143",42,"Female",1,0,"responsibility",0
"144",57,"Female",1,0,"responsibility",1
"145",24,"Female",0,0,"control",1
"146",44,"Female",0,1,"acceptability",1
"147",40,"Male",1,0,"control",1
"148",68,"Male",0,1,"responsibility",0
"149",71,"Female",0,0,"acceptability",1
"150",20,"Female",0,0,"control",0
"151",18,"Female",0,0,"responsibility",1
"152",62,"Male",1,0,"responsibility",1
"153",28,"Female",1,0,"acceptability",1
"154",25,"Male",1,0,"control",1
"155",52,"Female",0,1,"acceptability",1
"156",25,"Female",1,0,"control",1
"157",44,"Female",1,1,"responsibility",1
"158",50,"Female",1,1,"responsibility",1
"159",27,"Male",1,1,"control",0
"160",59,"Male",0,0,"control",1
"161",23,"Female",0,0,"acceptability",0
"162",44,"Female",1,1,"control",0
"163",32,"Male",0,0,"acceptability",1
"164",19,"Female",0,0,"acceptability",1
"165",19,"Male",0,0,"control",1
"166",27,"Male",0,0,"acceptability",1
"167",34,"Female",1,0,"acceptability",1
"168",57,"Male",1,0,"control",1
"169",44,"Female",0,1,"control",0
"170",29,"Female",0,1,"responsibility",0
"171",34,"Female",1,1,"responsibility",0
"172",21,"Female",0,0,"responsibility",0
"173",19,"Female",1,0,"acceptability",0
"174",28,"Female",1,1,"acceptability",1
"175",48,"Female",1,0,"responsibility",0
"176",46,"Female",0,0,"control",0
"177",20,"Female",1,0,"responsibility",1
"178",54,"Male",0,0,"responsibility",0
"179",26,"Female",1,0,"acceptability",0
"180",57,"Female",1,1,"responsibility",0
"181",22,"Male",1,0,"responsibility",0
"182",35,"Male",0,0,"acceptability",0
"183",21,"Male",1,0,"control",1
"184",31,"Female",1,0,"control",1
"185",42,"Female",1,1,"control",0
"186",28,"Female",0,0,"control",0
"187",20,"Female",0,0,"responsibility",1
"188",23,"Female",0,0,"control",1
"189",24,"Female",1,0,"responsibility",1
"190",33,"Female",0,1,"acceptability",0
"191",60,"Female",1,1,"responsibility",0
"192",36,"Female",0,0,"control",1
"193",48,"Female",1,0,"responsibility",1
"194",60,"Male",1,0,"responsibility",0
"195",61,"Female",0,1,"acceptability",0
"196",19,"Female",0,0,"responsibility",0
"197",26,"Female",1,0,"acceptability",0
"198",29,"Female",1,0,"control",0
"199",36,"Female",1,0,"acceptability",0
"200",53,"Male",1,1,"control",1
"201",45,"Female",1,0,"acceptability",0
"202",31,"Female",1,0,"acceptability",0
"203",26,"Female",1,0,"responsibility",0
"204",37,"Female",1,0,"control",0
"205",25,"Female",1,0,"control",0
"206",34,"Female",0,0,"control",0
"207",21,"Male",1,0,"responsibility",0
"208",47,"Female",1,0,"acceptability",0
"209",23,"Female",1,0,"control",1
"210",44,"Male",0,0,"responsibility",1
"211",29,"Female",1,0,"control",1
"212",27,"Male",1,0,"control",1
"213",46,"Female",1,1,"acceptability",1
"214",47,"Male",1,0,"acceptability",1
"215",53,"Male",0,0,"acceptability",0
"216",18,"Female",1,0,"acceptability",1
"217",42,"Female",0,0,"control",1
"218",65,"Female",0,0,"responsibility",1
"219",30,"Female",0,0,"control",1
"220",23,"Male",0,0,"control",1
"221",22,"Female",1,0,"responsibility",0
"222",34,"Female",1,0,"acceptability",1
"223",43,"Male",1,1,"control",0
"224",19,"Female",0,0,"control",1
"225",24,"Female",1,1,"control",1
"226",34,"Male",1,0,"acceptability",1
"227",22,"Female",1,0,"responsibility",0
"228",62,"Female",0,1,"responsibility",1
"229",59,"Female",0,0,"responsibility",0
"230",41,"Male",1,1,"control",0
"231",77,"Female",0,1,"control",0
"232",27,"Female",1,0,"control",0
"233",33,"Female",1,0,"control",1
"234",60,"Female",0,0,"acceptability",0
"235",30,"Male",0,0,"acceptability",0
"236",52,"Female",1,1,"control",1
"237",19,"Female",0,0,"responsibility",1
"238",21,"Male",1,0,"responsibility",0
"239",24,"Female",0,0,"control",1
"240",23,"Female",1,0,"control",0
"241",20,"Female",0,0,"control",1
"242",23,"Female",1,0,"control",1
"243",18,"Female",0,0,"acceptability",1
"244",62,"Female",1,0,"control",0
"245",32,"Female",1,1,"control",0
"246",30,"Female",0,1,"acceptability",1
"247",23,"Female",1,0,"acceptability",1
"248",36,"Male",0,0,"control",1
"249",24,"Female",1,0,"acceptability",1
"250",50,"Female",1,1,"control",0
"251",26,"Male",1,1,"acceptability",1
"252",65,"Male",1,1,"acceptability",1
"253",35,"Male",1,1,"responsibility",1
"254",63,"Female",0,0,"responsibility",1
"255",54,"Female",1,0,"control",0
"256",43,"Male",1,0,"control",0
"257",18,"Female",0,0,"acceptability",0
"258",28,"Female",0,0,"acceptability",1
"259",48,"Female",1,0,"acceptability",1
"260",24,"Female",0,0,"control",0
"261",67,"Female",0,0,"acceptability",0
"262",32,"Male",1,0,"control",0
"263",36,"Female",0,1,"responsibility",0
"264",18,"Female",0,0,"responsibility",1
"265",19,"Female",1,0,"responsibility",0
"266",20,"Female",0,0,"responsibility",1
"267",56,"Male",1,1,"control",0
"268",25,"Female",1,0,"control",0
"269",20,"Female",1,0,"control",1
"270",28,"Male",1,0,"responsibility",1
"271",31,"Female",1,0,"acceptability",1
"272",30,"Male",1,0,"control",1
"273",20,"Female",1,0,"acceptability",0
"274",68,"Male",0,0,"acceptability",1
"275",20,"Female",1,0,"control",0
"276",38,"Female",0,0,"acceptability",0
"277",35,"Female",1,0,"acceptability",1
"278",63,"Female",0,0,"acceptability",1
"279",75,"Female",0,0,"acceptability",0
"280",46,"Female",1,1,"control",0
"281",39,"Female",0,1,"responsibility",0
"282",52,"Female",0,1,"responsibility",0
"283",62,"Male",0,1,"responsibility",0
"284",59,"Male",1,1,"control",0
"285",28,"Female",1,0,"responsibility",0
"286",22,"Male",1,0,"responsibility",1
"287",45,"Male",0,0,"acceptability",1
"288",39,"Female",0,0,"responsibility",0
"289",42,"Male",1,1,"responsibility",0
"290",31,"Female",0,1,"acceptability",0
"291",24,"Female",1,0,"acceptability",1
"292",43,"Male",1,0,"acceptability",1
"293",53,"Female",0,1,"acceptability",0
"294",63,"Male",1,1,"control",1
"295",44,"Male",0,0,"responsibility",0
"296",54,"Female",0,0,"acceptability",1
"297",26,"Female",1,1,"responsibility",1
"298",46,"Male",1,0,"acceptability",0
"299",27,"Female",0,1,"control",0
"300",57,"Female",0,1,"acceptability",0
"301",38,"Female",1,1,"acceptability",0
"302",55,"Female",1,0,"acceptability",1
"303",42,"Male",0,0,"acceptability",0
"304",75,"Female",0,0,"acceptability",0
"305",63,"Male",0,1,"responsibility",0
"306",40,"Male",0,1,"responsibility",0
"307",43,"Female",1,1,"control",0
"308",30,"Female",1,0,"control",1
"309",68,"Female",0,0,"acceptability",0
"310",22,"Female",0,0,"control",0
"311",60,"Female",0,0,"acceptability",1
"312",43,"Male",1,1,"control",0
"313",27,"Female",1,1,"control",1
"314",43,"Male",1,0,"acceptability",1
"315",81,"Female",0,0,"responsibility",1
"316",65,"Female",0,0,"responsibility",0
"317",24,"Female",1,1,"responsibility",1
"318",18,"Female",0,0,"acceptability",0
"319",35,"Female",1,0,"control",1
"320",60,"Female",0,1,"acceptability",0
"321",39,"Male",0,1,"control",0
"322",32,"Male",1,0,"control",0
"323",60,"Female",0,0,"control",1
"324",20,"Female",1,0,"control",1
"325",28,"Female",1,0,"responsibility",1
"326",42,"Female",0,1,"acceptability",1
"327",36,"Female",1,1,"acceptability",0
"328",28,"Female",0,0,"responsibility",0
"329",41,"Female",1,0,"acceptability",0
"330",34,"Female",0,0,"acceptability",0
"331",41,"Female",1,1,"responsibility",0
"332",20,"Female",0,0,"acceptability",0
"333",62,"Female",0,1,"control",1
"334",55,"Male",1,0,"control",1
"335",51,"Female",0,0,"control",1
"336",19,"Female",1,0,"acceptability",0
"337",36,"Male",1,0,"responsibility",1
"338",62,"Female",0,1,"control",1
"339",20,"Female",0,0,"responsibility",1
"340",58,"Male",0,0,"acceptability",0
"341",28,"Male",1,0,"responsibility",1
"342",72,"Male",1,0,"control",0
"343",32,"Male",1,0,"responsibility",0
"344",79,"Male",0,0,"acceptability",1
"345",49,"Male",1,0,"control",0
"346",20,"Male",0,0,"acceptability",0
"347",57,"Male",1,0,"control",1
"348",19,"Female",0,1,"control",0
"349",56,"Female",1,0,"responsibility",1
"350",21,"Female",1,0,"control",1
"351",25,"Male",1,0,"acceptability",1
"352",26,"Female",1,0,"acceptability",1
"353",68,"Female",1,1,"control",0
"354",47,"Female",0,0,"responsibility",0
"355",25,"Female",0,0,"control",0
"356",66,"Male",0,1,"responsibility",1
"357",18,"Female",0,0,"acceptability",1
"358",53,"Male",1,0,"control",1
"359",24,"Male",0,0,"responsibility",0
"360",45,"Male",1,0,"responsibility",0
"361",41,"Female",1,0,"responsibility",0
"362",19,"Female",1,0,"control",0
"363",34,"Female",1,0,"control",1
"364",29,"Female",1,0,"responsibility",0
"365",27,"Male",1,1,"control",0
"366",64,"Female",0,1,"acceptability",0
"367",32,"Female",0,0,"responsibility",1
"368",75,"Male",0,1,"control",0
"369",71,"Female",0,1,"acceptability",1
"370",67,"Female",0,0,"responsibility",1
"371",64,"Male",0,0,"acceptability",0
"372",34,"Male",1,0,"acceptability",1
"373",63,"Female",1,0,"responsibility",0
"374",19,"Female",1,0,"control",0
"375",37,"Male",1,1,"acceptability",0
"376",32,"Male",1,0,"responsibility",1
"377",24,"Male",1,0,"responsibility",0
"378",22,"Male",0,0,"acceptability",1
"379",52,"Female",1,1,"acceptability",1
"380",70,"Female",0,0,"responsibility",1
"381",47,"Female",1,0,"responsibility",0
"382",42,"Female",1,0,"control",1
"383",37,"Female",1,0,"control",0
"384",85,"Male",0,1,"acceptability",1
"385",55,"Female",1,1,"acceptability",0
"386",35,"Male",1,0,"responsibility",0
"387",19,"Female",1,0,"acceptability",0
"388",62,"Female",1,0,"acceptability",1
"389",25,"Female",1,1,"responsibility",1
"390",58,"Female",0,0,"responsibility",0
"391",18,"Female",0,0,"responsibility",0
"392",38,"Female",1,1,"acceptability",0
"393",27,"Female",0,0,"responsibility",1
"394",54,"Female",0,1,"responsibility",0
"395",34,"Female",0,0,"acceptability",0
"396",69,"Male",0,1,"responsibility",1
"397",47,"Male",1,1,"acceptability",1
"398",22,"Female",1,0,"responsibility",1
"399",71,"Female",0,1,"acceptability",1
"400",20,"Female",1,0,"acceptability",1
"401",66,"Female",0,1,"control",0
"402",40,"Female",1,1,"responsibility",0
"403",26,"Female",0,0,"control",1
"404",65,"Male",0,1,"acceptability",0
"405",24,"Male",1,0,"acceptability",1
"406",30,"Female",1,0,"acceptability",1
"407",21,"Female",1,0,"acceptability",1
"408",41,"Female",1,1,"responsibility",0
"409",61,"Female",1,1,"responsibility",1
"410",51,"Female",1,0,"control",1
"411",29,"Female",1,0,"responsibility",1
"412",44,"Female",1,1,"control",1
"413",24,"Female",1,0,"responsibility",1
"414",62,"Female",0,0,"control",0
"415",53,"Male",1,0,"responsibility",0
"416",64,"Male",1,0,"control",0
"417",43,"Male",0,1,"acceptability",1
"418",55,"Female",0,0,"responsibility",1
"419",22,"Male",1,0,"control",0
"420",39,"Male",0,0,"control",1
"421",40,"Male",1,0,"acceptability",1
"422",29,"Male",0,0,"acceptability",0
"423",20,"Female",1,1,"control",1
"424",34,"Female",1,0,"acceptability",1
"425",50,"Female",1,1,"acceptability",1
"426",21,"Female",1,0,"responsibility",0
"427",39,"Female",1,0,"responsibility",0
"428",66,"Female",1,1,"responsibility",0
"429",30,"Female",1,0,"acceptability",1
"430",31,"Male",1,1,"responsibility",1
"431",27,"Male",1,0,"responsibility",0
"432",45,"Female",0,0,"responsibility",1
"433",52,"Female",0,0,"acceptability",1
"434",20,"Female",0,1,"control",0
"435",18,"Female",0,0,"responsibility",1
"436",38,"Female",1,0,"responsibility",0
"437",48,"Male",1,0,"control",0
"438",36,"Female",1,0,"control",1
"439",39,"Male",1,1,"responsibility",0
"440",48,"Male",0,0,"responsibility",0
"441",24,"Female",1,0,"acceptability",1
"442",74,"Female",0,1,"responsibility",1
"443",31,"Male",0,0,"responsibility",1
"444",62,"Female",1,0,"responsibility",0
"445",47,"Male",0,0,"acceptability",0
"446",74,"Female",0,0,"control",0
"447",19,"Male",0,0,"acceptability",1
"448",37,"Male",1,1,"control",0
"449",35,"Female",1,1,"acceptability",1
"450",70,"Male",0,1,"acceptability",1
"451",60,"Female",0,0,"acceptability",0
"452",59,"Male",1,0,"responsibility",0
"453",33,"Male",1,0,"control",1
"454",32,"Male",1,1,"responsibility",1
"455",38,"Female",1,1,"responsibility",1
"456",20,"Female",1,0,"responsibility",1
"457",35,"Male",1,1,"responsibility",1
"458",23,"Female",1,1,"acceptability",1
"459",50,"Female",1,1,"acceptability",1
"460",22,"Male",0,0,"responsibility",1
"461",64,"Female",1,0,"control",1
"462",30,"Female",0,1,"acceptability",1
"463",61,"Female",1,1,"responsibility",1
"464",24,"Male",1,0,"acceptability",0
"465",68,"Female",0,1,"acceptability",0
"466",57,"Female",1,0,"control",1
"467",25,"Male",1,1,"control",1
"468",71,"Female",0,0,"acceptability",0
"469",48,"Male",0,0,"acceptability",0
"470",19,"Female",0,0,"acceptability",0
"471",64,"Male",0,1,"control",0
"472",56,"Female",1,1,"responsibility",1
"473",47,"Male",1,1,"control",1
"474",24,"Male",1,1,"control",1
"475",37,"Female",1,0,"acceptability",1
"476",38,"Female",0,1,"acceptability",1
"477",41,"Female",0,1,"control",1
"478",54,"Female",1,0,"control",0
"479",41,"Male",1,1,"control",0
"480",30,"Female",0,0,"responsibility",0
"481",30,"Female",1,0,"control",1
"482",25,"Male",1,1,"acceptability",1
"483",30,"Female",0,1,"control",0
"484",34,"Male",1,0,"responsibility",0
"485",31,"Male",1,1,"responsibility",1
"486",45,"Male",1,0,"acceptability",1
"487",53,"Female",1,1,"acceptability",0
"488",18,"Female",0,0,"responsibility",1
"489",58,"Male",1,1,"control",0
"490",40,"Male",1,1,"acceptability",0
"491",42,"Male",1,1,"control",1
"492",48,"Male",1,1,"acceptability",1
"493",59,"Male",0,0,"responsibility",1
"494",63,"Female",1,0,"control",0
"495",19,"Female",0,0,"responsibility",0
"496",25,"Male",1,1,"control",1
"497",32,"Male",0,0,"acceptability",1
"498",30,"Male",1,0,"acceptability",1
"499",48,"Female",1,0,"control",1
"500",35,"Female",1,1,"control",1
"501",24,"Female",1,0,"acceptability",0
"502",43,"Female",0,1,"control",0
"503",45,"Female",0,1,"control",0
"504",34,"Female",0,0,"acceptability",1
"505",34,"Female",0,0,"control",1
